FROM_BRANCH,LORRY_ROUTE_FROM,FROM_LAT,FROM_LONG,TO_BRANCH,LORRY_ROUTE_TO,TO_LAT,TO_LONG,COUNT(*)
AMBALA HUB-HARYANA,103,30.23361,76.85074,AMBALA HUB-HARYANA,2205,29.9652,78.076,11
RASYANI-RAIGAD,2125,18.9542,73.1682,RASYANI-RAIGAD,2802,18.7004018,73.8489416,12
MANESAR-HARYANA,1322,28.3775364,76.9388545,MANESAR-HARYANA,3405,22.824269,86.268545,51
SHOLAVARAM CHENNAI,1003,13.2316,80.1633,SHOLAVARAM CHENNAI,2701,11.945999,79.7779715,18
MITROL PALWAL-HARYANA,1344,28.0463739,77.3416418,MITROL PALWAL-HARYANA,4002,25.5784288,85.2193768,6
CHIKALTHANA AURANGABAD-MAHARASTRA,202,19.8759,75.3801,CHIKALTHANA AURANGABAD-MAHARASTRA,1602,26.4478,80.2487,33
BINOLA HUB-HARYANA,1328,28.3106646,76.8781538,BINOLA HUB-HARYANA,1901,30.8772,75.9122,3
HARIDWAR-UTTRAKHAND,2205,29.9652,78.076,HARIDWAR-UTTRAKHAND,1912,30.2366,74.9092,37
FURSUNGI - PUNE - MAHARASTRA,2818,18.4516106,73.9693112,FURSUNGI - PUNE - MAHARASTRA,2117,19.2924351,73.1082178,3
DHARUHERA-HARYANA,1401,28.2191813,76.7966441,DHARUHERA-HARYANA,1401,28.2191813,76.7966441,9
GGN HERO HONDA-HARYANA,1327,28.3962,76.993,GGN HERO HONDA-HARYANA,1305,28.5182141,77.0820394,3
GWALIOR-MADHYA PRADESH,3503,26.3392,78.2826,GWALIOR-MADHYA PRADESH,1707,25.1305,75.8533,2
SURAT-GUJARAT,402,21.1898949,72.8890235,SURAT-GUJARAT,402,21.1898949,72.8890235,19
AURANGABAD WALUJ-MAHARASTRA,201,19.8087351,75.2382142,AURANGABAD WALUJ-MAHARASTRA,201,19.8087351,75.2382142,12
SALEM-TAMILNADU,3001,11.6017,78.0921,SALEM-TAMILNADU,2002,10.1648,77.9099,1
BANGLORE HUB-KARNATAKA,511,13.2444,77.229,BANGLORE HUB-KARNATAKA,1328,28.3106646,76.8781538,4
KUNDLI BORDER SONIPAT-HARYANA,1309,28.862816,77.123806,KUNDLI BORDER SONIPAT-HARYANA,1901,30.8772,75.9122,55
DHULAGARH HUB KOLKATA-WEST BANGAL,809,22.5614951,88.1767703,DHULAGARH HUB KOLKATA-WEST BANGAL,4107,20.5333,85.9527,8
AMBALA HUB-HARYANA,103,30.23361,76.85074,AMBALA HUB-HARYANA,104,30.8954,77.0931,5
BHIWADI RAJASTHAN,701,28.2091,76.8469,BHIWADI RAJASTHAN,3405,22.824269,86.268545,9
MANESAR-HARYANA,1322,28.3775364,76.9388545,MANESAR-HARYANA,511,13.2444,77.229,11
CUTTACK-ORRISA,4107,20.5333,85.9527,CUTTACK-ORRISA,3405,22.824269,86.268545,8
FARIDABAD-HARYANA,1308,28.4509963,77.3193081,FARIDABAD-HARYANA,511,13.2444,77.229,23
SINNAR NASIK-MAHARASTRA,2403,19.885725,73.976382,SINNAR NASIK-MAHARASTRA,2805,18.5743585,73.8907094,3
